root - 15-Dec-19 13:15:47 - INFO - Start time is 2019-12-15 13:15:47.235172
root - 15-Dec-19 13:15:47 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16740429.xml
root - 15-Dec-19 13:15:49 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16740717.xml
root - 15-Dec-19 13:15:50 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16740909.xml
root - 15-Dec-19 13:15:52 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16741014.xml
root - 15-Dec-19 13:15:53 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16741212.xml
root - 15-Dec-19 13:15:55 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16750115.xml
root - 15-Dec-19 13:15:56 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16750219.xml
root - 15-Dec-19 13:15:57 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16750414.xml
root - 15-Dec-19 13:15:59 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16750707.xml
root - 15-Dec-19 13:16:01 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16750909.xml
root - 15-Dec-19 13:16:03 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16751013.xml
root - 15-Dec-19 13:16:04 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16751208.xml
root - 15-Dec-19 13:16:06 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16760114.xml
root - 15-Dec-19 13:16:08 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16760117.xml
root - 15-Dec-19 13:16:10 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16760405.xml
root - 15-Dec-19 13:16:13 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16760510.xml
root - 15-Dec-19 13:16:15 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16760628.xml
root - 15-Dec-19 13:16:16 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16760823.xml
root - 15-Dec-19 13:16:18 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16761011.xml
root - 15-Dec-19 13:16:20 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16761213.xml
root - 15-Dec-19 13:16:22 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770117.xml
root - 15-Dec-19 13:16:23 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770307.xml
root - 15-Dec-19 13:16:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770425.xml
root - 15-Dec-19 13:16:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770601.xml
root - 15-Dec-19 13:16:28 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770711.xml
root - 15-Dec-19 13:16:31 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770711A.xml
root - 15-Dec-19 13:16:33 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16770906.xml
root - 15-Dec-19 13:16:35 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16771010.xml
root - 15-Dec-19 13:16:37 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16771212.xml
root - 15-Dec-19 13:16:40 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16780116.xml
root - 15-Dec-19 13:16:43 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16780411.xml
root - 15-Dec-19 13:16:45 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16780516.xml
root - 15-Dec-19 13:16:48 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16780703.xml
root - 15-Dec-19 13:16:51 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16780828.xml
root - 15-Dec-19 13:16:54 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16781016.xml
root - 15-Dec-19 13:16:58 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16781211.xml
root - 15-Dec-19 13:16:58 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16781211E.xml
root - 15-Dec-19 13:17:08 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16790131.xml
root - 15-Dec-19 13:17:09 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16790226.xml
root - 15-Dec-19 13:17:13 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16790430.xml
root - 15-Dec-19 13:17:17 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16790605.xml
root - 15-Dec-19 13:17:20 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16790716.xml
root - 15-Dec-19 13:17:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16790827.xml
root - 15-Dec-19 13:17:29 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16791015.xml
root - 15-Dec-19 13:17:33 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16791210.xml
root - 15-Dec-19 13:17:36 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800115.xml
root - 15-Dec-19 13:17:40 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16800117.xml
